Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,FBI Code,X Coordinate,Community Area,Y Coordinate,Year,Latitude,Updated On,Longitude,Location
HV530781,8856945,10/23/2012 10:10,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,11,28,11,1149614,26,1901481,2012,41.8855816,10/25/2012 0:41,-87.72604657,"(41.885581598748246, -87.72604656914372)"
HV532227,8858652,10/23/2012 10:00,001XX W WASHINGTON ST,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,122,1,42,6,1175486,32,1900854,2012,41.88331936,10/29/2012 0:37,-87.63105887,"(41.883319361669244, -87.63105887394579)"
HV531513,8858725,10/23/2012 10:00,055XX W OHIO ST,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,FALSE,FALSE,1523,15,37,7,1139375,25,1903385,2012,41.89099909,10/28/2012 0:39,-87.76360024,"(41.89099909436219, -87.76360024484005)"
HV530920,8857128,10/23/2012 10:00,044XX S DREXEL BLVD,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,TRUE,TRUE,221,2,4,26,1182893,39,1875958,2012,41.81483374,10/25/2012 0:41,-87.60463603,"(41.81483374128669, -87.60463603390131)"
HV531275,8857592,10/23/2012 10:00,069XX S MERRILL AVE,890,THEFT,FROM BUILDING,SCHOOL PUBLIC BUILDING,FALSE,FALSE,331,3,5,6,1191708,43,1859203,2012,41.76864725,10/26/2012 0:39,-87.57284565,"(41.76864724534782, -87.57284564580563)"
HV532834,8859154,10/23/2012 10:00,010XX W ARGYLE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2024,20,46,14,1168524,3,1933629,2012,41.97340911,10/27/2012 0:38,-87.65567242,"(41.97340911082038, -87.65567242310215)"
HV532440,8858791,10/23/2012 10:00,008XX N RIDGEWAY AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1112,11,27,6,1151270,23,1905459,2012,41.89646532,10/30/2012 0:40,-87.71986093,"(41.89646532106742, -87.71986092754007)"
HV531122,8857606,10/23/2012 10:00,060XX S WESTERN AVE,820,THEFT,$500 AND UNDER,FACTORY/MANUFACTURING BUILDING,FALSE,FALSE,825,8,16,6,1161454,66,1864238,2012,41.78314453,10/26/2012 0:39,-87.68360213,"(41.78314452792852, -87.68360213385326)"
HV530767,8857001,10/23/2012 9:55,044XX W CONGRESS PKWY,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1131,11,24,08B,1146960,26,1897363,2012,41.87433245,10/26/2012 0:39,-87.73589794,"(41.87433245295263, -87.73589793605521)"
HV530784,8857019,10/23/2012 9:50,008XX E 103RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SCHOOL  PUBLIC  BUILDING,TRUE,FALSE,512,5,9,18,1183714,50,1836812,2012,41.7073941,10/28/2012 0:39,-87.6028439,"(41.707394097612436, -87.60284389723702)"
